userId,question
U90001,"我是学生，预算有限，主要写论文和看网课，哪款平板更合适？"
U90002,"我想参加拼团，标准版现在多少钱，适合上课记笔记吗？"
U90003,"预算 2500 元以内，要轻薄便携，推荐哪款学习平板？"
U90004,"我主要看网课和写文档，拼团购买有什么规则？"
U90005,"标准版适合哪些学习场景，我更在意性价比。"
U90006,"给大学生买平板，预算不高，售后和退款规则是什么？"
U90007,"我想买适合论文写作和课堂笔记的平板，有拼团价吗？"
U90008,"只做轻办公和学习，直接买还是拼团更划算？"
U90009,"平板用来听课和整理资料，推荐标准版还是高配版？"
U90010,"我预算 2300 元左右，想要手写笔支持，哪款合适？"
U90011,"帮我选一款学习平板，要求便携和售后稳定。"
U90012,"拼团未成团会退款吗，学生买哪款压力小？"
U90013,"预算 2300 元，看网课和写论文，标准版学习平板合适吗？"
U90014,"标准版拼团还剩多久，适合日常学习吗？"
U90015,"我想省钱买平板，拼团价和原价差多少？"
U90016,"预算有限但想要长期用，哪款平板更稳？"
U90017,"学习场景下标准版够不够用，帮我说明一下。"
U90018,"我主要记笔记和查资料，拼团购买流程是什么？"
U90019,"学生党买平板，售后退货规则要注意什么？"
U90020,"我想用平板看网课和写报告，有什么推荐？"
U90021,"帮我找一款三人拼团的学习平板。"
U90022,"预算 2600 元以内，性能不用太强，哪款合适？"
U90023,"轻薄学习平板标准版适合哪些人，不适合哪些人？"
U90024,"我想知道标准版拼团价格和成团人数。"
U90025,"如果拼团失败会怎么处理，购买哪款更合适？"
U90026,"上课记笔记和看资料，标准版够用吗？"
U90027,"我想买平板给研究生写论文，预算有限。"
U90028,"推荐一款能看网课和做笔记的平板，最好有优惠。"
U90029,"平板售后政策怎么样，拼团买会影响退款吗？"
U90030,"我预算 2200 元，想要学习用，帮我推荐。"
U90031,"要便携和续航稳定，适合学生的平板是哪款？"
U90032,"我想参加拼团但不想承担退款风险，规则是什么？"
U90033,"轻办公和学习资料整理，标准版能不能满足？"
U90034,"标准版是不是适合学生轻办公和网课学习？"
U90035,"帮我按照价格和学习场景排序推荐平板。"
U90036,"我希望价格低一点，但售后不能太差。"
U90037,"标准版原价和拼团价分别是多少？"
U90038,"拼团名额满了怎么办，是否还能直接购买？"
U90039,"我主要写论文和开会记录，推荐哪款？"
U90040,"买平板用来上网课，预算 2400 元，能参加拼团吗？"
U90041,"我想看标准版的购买建议和不适用场景。"
U90042,"标准版在学习场景下的优势和边界是什么？"
U90043,"预算敏感，优先考虑拼团价，帮我推荐。"
U90044,"如果我要直接购买，导购推荐的价格可靠吗？"
U90045,"学生买平板更看重价格和退货，怎么选？"
U90046,"标准版适合课堂笔记和网课吗，有活动吗？"
U90047,"想买轻薄学习平板，帮我看拼团是否划算。"
U90048,"预算 2300 元，只做学习和文档处理，标准版学习平板合适吗？"
U90049,"帮我推荐一款适合大学生的平板，说明理由。"
U90050,"预算 2300 元想买标准版学习平板，帮我看拼团价和购买建议。"
U90051,"预算 2500 元以内，写论文和看网课用哪款？"
U90052,"如果拼团成功后还能七天无理由退货吗？"
U90053,"买标准版学习平板会不会更划算？"
U90054,"我需要轻薄便携，课堂和宿舍都要用。"
U90055,"平板主要用于资料阅读和笔记，推荐哪款？"
U90056,"拼团价是否来自后端活动，不是模型编的吗？"
U90057,"学生党想省钱，标准版拼团购买流程如何？"
U90058,"帮我从预算、用途、售后三方面推荐平板。"
U90059,"我想要直接购买和拼团购买的区别说明。"
U90060,"日常学习和轻办公，预算有限，推荐哪款平板？"
